date,data_footprint
2018-11-11 00:00:00,37104007457564.0
2018-11-12 00:00:00,37398236010320.0
2018-11-13 00:00:00,38301711583881.0
2018-11-14 00:00:00,38366105928097.0
2018-11-15 00:00:00,39475358534808.0
2018-11-16 00:00:00,39700515584088.0
2018-11-17 00:00:00,39700515584088.0
2018-11-18 00:00:00,39700515584088.0
2018-11-19 00:00:00,39700515584088.0
2018-11-20 00:00:00,39700515584088.0
2018-11-21 00:00:00,39700515584088.0
2018-11-22 00:00:00,39700515584088.0
2018-11-23 00:00:00,41139455539744.0
2018-11-24 00:00:00,41139455539744.0
2018-11-25 00:00:00,41139455539744.0
2018-11-26 00:00:00,41139455539744.0
2018-11-27 00:00:00,42441855326573.0
2018-11-28 00:00:00,43437644269815.0
2018-11-29 00:00:00,47769279019385.0
2018-11-30 00:00:00,48929667598131.0
2018-12-01 00:00:00,48929667598131.0
2018-12-02 00:00:00,48929667598131.0
2018-12-03 00:00:00,56979490552474.0
2018-12-04 00:00:00,59903076569160.0
2018-12-05 00:00:00,60283014125614.0
2018-12-06 00:00:00,60283014125614.0
2018-12-07 00:00:00,60283014125614.0
2018-12-08 00:00:00,60283014125614.0
2018-12-09 00:00:00,60283014125614.0
2018-12-10 00:00:00,60283014125614.0
2018-12-11 00:00:00,60283014125614.0
2018-12-12 00:00:00,60283014125614.0
2018-12-13 00:00:00,60283014125614.0
2018-12-14 00:00:00,60283014125614.0
2018-12-15 00:00:00,60283014125614.0
2018-12-16 00:00:00,60283014125614.0
2018-12-17 00:00:00,60283014125614.0
2018-12-18 00:00:00,60283014125614.0
2018-12-19 00:00:00,60283014125614.0
2018-12-20 00:00:00,60283014125614.0
2018-12-21 00:00:00,60283014125614.0
2018-12-22 00:00:00,60283014125614.0
2018-12-23 00:00:00,60283014125614.0
2018-12-24 00:00:00,60283014125614.0
2018-12-25 00:00:00,60283014125614.0
2018-12-26 00:00:00,60283014125614.0
2018-12-27 00:00:00,60283014125614.0
2018-12-28 00:00:00,60283014125614.0
2018-12-29 00:00:00,60283014125614.0
2018-12-30 00:00:00,60283014125614.0
2018-12-31 00:00:00,60283014125614.0
2019-01-01 00:00:00,60283014125614.0
2019-01-02 00:00:00,60283014125614.0
2019-01-03 00:00:00,60283014125614.0
2019-01-04 00:00:00,60283014125614.0
2019-01-05 00:00:00,60283014125614.0
2019-01-06 00:00:00,60283014125614.0
2019-01-07 00:00:00,60283014125614.0
2019-01-08 00:00:00,60283014125614.0
2019-01-09 00:00:00,60283014125614.0
2019-01-10 00:00:00,60283014125614.0
2019-01-11 00:00:00,60283014125614.0
2019-01-12 00:00:00,60283014125614.0
2019-01-13 00:00:00,60283014125614.0
2019-01-14 00:00:00,61576247227454.0
2019-01-15 00:00:00,61576247227454.0
2019-01-16 00:00:00,63140813797186.0
2019-01-17 00:00:00,63792910649622.0
2019-01-18 00:00:00,63792910649622.0
2019-01-19 00:00:00,63792910649622.0
2019-01-20 00:00:00,63792910649622.0
2019-01-21 00:00:00,66576863946594.0
2019-01-22 00:00:00,66576863946594.0
2019-01-23 00:00:00,66576863946594.0
2019-01-24 00:00:00,67883435771243.0
2019-01-25 00:00:00,67883435771243.0
2019-01-26 00:00:00,67883435771243.0
2019-01-27 00:00:00,67883435771243.0
2019-01-28 00:00:00,72625758706217.0
2019-01-29 00:00:00,74072585943899.0
2019-01-30 00:00:00,76985990429512.0
2019-01-31 00:00:00,84987491303405.0
2019-02-01 00:00:00,88354984532750.0
2019-02-02 00:00:00,88354984532750.0
2019-02-03 00:00:00,88354984532750.0
2019-02-04 00:00:00,91509991925813.0
2019-02-05 00:00:00,94546911129536.0
2019-02-06 00:00:00,94608455501685.0
2019-02-07 00:00:00,96271377186511.0
2019-02-08 00:00:00,101758180323093.0
2019-02-09 00:00:00,101758180323093.0
2019-02-10 00:00:00,101758180323093.0
2019-02-11 00:00:00,103505845926056.0
2019-02-12 00:00:00,108052168386735.0
2019-02-13 00:00:00,115183523597041.0
2019-02-14 00:00:00,115203672107482.0
2019-02-15 00:00:00,123637366121422.0
2019-02-16 00:00:00,123637366121422.0
2019-02-17 00:00:00,587906004934288.0
2019-02-18 00:00:00,694983675442017.0
2019-02-19 00:00:00,703704786689269.0
2019-02-20 00:00:00,703704786689269.0
2019-02-21 00:00:00,707068005549489.0
2019-02-22 00:00:00,709093152211312.0
2019-02-23 00:00:00,709093152211312.0
2019-02-24 00:00:00,709093152211312.0
2019-02-25 00:00:00,709688036033866.0
2019-02-26 00:00:00,709688036033866.0
2019-02-27 00:00:00,709688036033866.0
2019-02-28 00:00:00,709688036033866.0
2019-03-01 00:00:00,709688036033866.0
2019-03-02 00:00:00,709688036033866.0
2019-03-03 00:00:00,709688036033866.0
2019-03-04 00:00:00,719653185445862.0
2019-03-05 00:00:00,723356070537303.0
2019-03-06 00:00:00,723858794536493.0
2019-03-07 00:00:00,729227117616457.0
2019-03-08 00:00:00,730992668900068.0
2019-03-09 00:00:00,730992668900068.0
2019-03-10 00:00:00,730992668900068.0
2019-03-11 00:00:00,765651326547415.0
2019-03-12 00:00:00,782952004542322.0
2019-03-13 00:00:00,783682578114735.0
2019-03-14 00:00:00,793587000800963.0
2019-03-15 00:00:00,794854530880382.0
2019-03-16 00:00:00,794854530880382.0
2019-03-17 00:00:00,794854530880382.0
2019-03-18 00:00:00,805087139935633.0
2019-03-19 00:00:00,805087139935633.0
2019-03-20 00:00:00,836602602759969.0
2019-03-21 00:00:00,866986716926621.0
2019-03-22 00:00:00,868224477084700.0
2019-03-23 00:00:00,914409555452822.0
2019-03-24 00:00:00,914409555452822.0
2019-03-25 00:00:00,915076986671259.0
2019-03-26 00:00:00,915673766597397.0
2019-03-27 00:00:00,915696759342881.0
2019-03-28 00:00:00,915696759342881.0
2019-03-29 00:00:00,916056965917871.0
2019-03-30 00:00:00,916056965917871.0
2019-03-31 00:00:00,916056965917871.0
2019-04-01 00:00:00,916633307332123.0
2019-04-02 00:00:00,920342409062350.0
2019-04-03 00:00:00,922650309129710.0
2019-04-04 00:00:00,923751615941810.0
2019-04-05 00:00:00,924610282393901.0
2019-04-06 00:00:00,924681321902600.0
2019-04-07 00:00:00,924681321902600.0
2019-04-08 00:00:00,927219879795458.0
2019-04-09 00:00:00,927774568773024.0
2019-04-10 00:00:00,929863082445859.0
2019-04-11 00:00:00,930193782354048.0
2019-04-12 00:00:00,931230149446177.0
2019-04-13 00:00:00,962547456908046.0
2019-04-14 00:00:00,962547456908046.0
2019-04-15 00:00:00,962547456908046.0
2019-04-16 00:00:00,963681021564115.0
2019-04-17 00:00:00,964578525378351.0
2019-04-18 00:00:00,966479608783005.0
2019-04-19 00:00:00,989741607003783.0
2019-04-20 00:00:00,989947339713019.0
2019-04-21 00:00:00,990050206075839.0
2019-04-22 00:00:00,990299615725972.0
2019-04-23 00:00:00,990404162619459.0
2019-04-24 00:00:00,990732067082637.0
2019-04-25 00:00:00,996478551959630.0
2019-04-26 00:00:00,1006669479260871.0
2019-04-27 00:00:00,1006689981128987.0
2019-04-28 00:00:00,1006713230794439.0
2019-04-29 00:00:00,1006717246615679.0
2019-04-30 00:00:00,1006717246615679.0
2019-05-01 00:00:00,1007026642106575.0
2019-05-02 00:00:00,1009040326534781.0
2019-05-03 00:00:00,1009176119434336.0
2019-05-04 00:00:00,1009181192276024.0
2019-05-05 00:00:00,1009185630905740.0
2019-05-06 00:00:00,1010022410659358.0
2019-05-07 00:00:00,1011665163566469.0
2019-05-08 00:00:00,1012245893475085.0
2019-05-09 00:00:00,1024311293425183.0
2019-05-10 00:00:00,1037449539607870.0
2019-05-11 00:00:00,1050354015967214.0
2019-05-12 00:00:00,1050354015967214.0
2019-05-13 00:00:00,1059083227478268.0
2019-05-14 00:00:00,1071460273866854.0
2019-05-15 00:00:00,1075572846590583.0
2019-05-16 00:00:00,1087868417711296.0
2019-05-17 00:00:00,1093451820237801.0
2019-05-18 00:00:00,1093451820237801.0
2019-05-19 00:00:00,1095319470560608.0
2019-05-20 00:00:00,1095885187317885.0
2019-05-21 00:00:00,1101187721374671.0
2019-05-22 00:00:00,1123078434729866.0
2019-05-23 00:00:00,1127726858671153.0
2019-05-24 00:00:00,1130545896784702.0
2019-05-25 00:00:00,1130545896784702.0
2019-05-26 00:00:00,1131466281844183.0
2019-05-27 00:00:00,1132568303474051.0
2019-05-28 00:00:00,1137949589395389.0
2019-05-29 00:00:00,1139756595328341.0
2019-05-30 00:00:00,1146712173326299.0
